Text Inputs : Specimen label,"2.165"
General : Start Date,1/28/2011 12:46 PM
General : End Date,1/28/2011 12:48 PM
Maximum Compressive load : Maximum Compressive load,9.57026,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,1.00370,MPa

Time,Extension,Load
(sec),(mm),(N)
44.60000,-0.07435,0.00037
44.70000,-0.07452,-0.00288
44.80000,-0.07469,-0.00135
44.90000,-0.07486,-0.00803
45.00000,-0.07503,-0.00646
45.10000,-0.07519,-0.00380
45.20000,-0.07536,-0.00252
45.30000,-0.07552,-0.00486
45.40000,-0.07568,-0.00684
45.50000,-0.07585,-0.00468
45.60000,-0.07602,-0.00335
45.70000,-0.07619,-0.00609
45.80000,-0.07635,-0.00888
45.90000,-0.07651,-0.01031
46.00000,-0.07668,-0.00149
46.10000,-0.07685,-0.00402
46.20000,-0.07702,-0.00744
46.30000,-0.07718,-0.00299
46.40000,-0.07735,-0.00392
46.50000,-0.07752,-0.00528
46.60000,-0.07768,-0.00942
46.70000,-0.07785,-0.00671
46.80000,-0.07801,-0.00943
46.90000,-0.07818,-0.00269
47.00000,-0.07835,-0.00468
47.10000,-0.07851,-0.00181
47.20000,-0.07869,-0.00371
47.30000,-0.07885,-0.00378
47.40000,-0.07902,-0.00556
47.50000,-0.07919,-0.00763
47.60000,-0.07935,-0.01144
47.70000,-0.07952,-0.00865
47.80000,-0.07969,-0.00236
47.90000,-0.07985,-0.00398
48.00000,-0.08001,-0.00582
48.10000,-0.08018,-0.00619
48.20000,-0.08034,-0.00113
48.30000,-0.08051,-0.00507
48.40000,-0.08068,-0.00442
48.50000,-0.08085,-0.00899
48.60000,-0.08102,-0.00774
48.70000,-0.08119,-0.00260
48.80000,-0.08135,-0.00263
48.90000,-0.08152,-0.00471
49.00000,-0.08168,-0.00090
49.10000,-0.08186,-0.00075
49.20000,-0.08201,-0.00649
49.30000,-0.08219,-0.00428
49.40000,-0.08235,-0.00913
49.50000,-0.08251,-0.00575
49.60000,-0.08269,-0.00492
49.70000,-0.08285,-0.00231
49.80000,-0.08303,-0.00588
49.90000,-0.08318,-0.00499
50.00000,-0.08335,-0.00404
50.10000,-0.08351,-0.00560
50.20000,-0.08369,-0.00654
50.30000,-0.08384,-0.00629
50.40000,-0.08401,-0.00747
50.50000,-0.08418,-0.00507
50.60000,-0.08434,-0.00566
50.70000,-0.08451,-0.00376
50.80000,-0.08468,-0.00381
50.90000,-0.08485,-0.00425
51.00000,-0.08502,-0.00715
51.10000,-0.08518,-0.00424
51.20000,-0.08535,-0.00981
51.30000,-0.08551,-0.00716
51.40000,-0.08568,-0.00370
51.50000,-0.08585,-0.00398
51.60000,-0.08601,-0.00478
51.70000,-0.08619,-0.00376
51.80000,-0.08634,-0.00527
51.90000,-0.08651,-0.00774
52.00000,-0.08668,-0.00435
52.10000,-0.08685,-0.00793
52.20000,-0.08702,-0.00934
52.30000,-0.08718,-0.00791
52.40000,-0.08736,-0.00413
52.50000,-0.08752,-0.00200
52.60000,-0.08769,-0.00478
52.70000,-0.08784,0.00114
52.80000,-0.08801,-0.00477
52.90000,-0.08818,-0.00680
53.00000,-0.08835,-0.01042
53.10000,-0.08851,-0.00793
53.20000,-0.08868,-0.00443
53.30000,-0.08884,-0.00405
53.40000,-0.08902,-0.00664
53.50000,-0.08920,-0.00083
53.60000,-0.08935,-0.00326
53.70000,-0.08952,-0.00566
53.80000,-0.08968,-0.00624
53.90000,-0.08985,-0.01010
54.00000,-0.09001,-0.00645
54.10000,-0.09018,0.00242
54.20000,-0.09035,-0.00171
54.30000,-0.09051,-0.00477
54.40000,-0.09068,-0.00454
54.50000,-0.09085,0.00068
54.60000,-0.09103,-0.00695
54.70000,-0.09119,-0.00693
54.80000,-0.09136,-0.00826
54.90000,-0.09152,-0.00633
55.00000,-0.09169,-0.00522
55.10000,-0.09185,-0.00279
55.20000,-0.09201,-0.00206
55.30000,-0.09218,-0.00827
55.40000,-0.09234,-0.00398
55.50000,-0.09251,-0.00539
55.60000,-0.09268,-0.00657
55.70000,-0.09285,-0.00910
55.80000,-0.09303,-0.00732
55.90000,-0.09318,-0.00436
56.00000,-0.09335,-0.00526
56.10000,-0.09352,-0.00365
56.20000,-0.09369,-0.00149
56.30000,-0.09385,-0.00398
56.40000,-0.09402,-0.00593
56.50000,-0.09419,-0.00469
56.60000,-0.09435,-0.00815
56.70000,-0.09452,-0.00640
56.80000,-0.09469,-0.00295
56.90000,-0.09486,-0.00118
57.00000,-0.09502,-0.00395
57.10000,-0.09519,-0.00387
57.20000,-0.09536,-0.00556
57.30000,-0.09552,-0.00685
57.40000,-0.09568,-0.00867
57.50000,-0.09585,-0.01220
57.60000,-0.09602,-0.00832
57.70000,-0.09619,-0.00579
57.80000,-0.09635,-0.00330
57.90000,-0.09652,-0.00566
58.00000,-0.09669,-0.00643
58.10000,-0.09686,-0.00523
58.20000,-0.09702,-0.00697
58.30000,-0.09719,-0.00732
58.40000,-0.09736,-0.01311
58.50000,-0.09753,-0.00904
58.60000,-0.09769,-0.00528
58.70000,-0.09786,-0.00672
58.80000,-0.09801,-0.00769
58.90000,-0.09818,-0.00832
59.00000,-0.09834,-0.00748
59.10000,-0.09851,-0.01048
59.20000,-0.09868,-0.01328
59.30000,-0.09885,-0.01546
59.40000,-0.09903,-0.01467
59.50000,-0.09919,-0.01312
59.60000,-0.09935,-0.01376
59.70000,-0.09952,-0.01382
59.80000,-0.09969,-0.01551
59.90000,-0.09985,-0.01301
60.00000,-0.10001,-0.00980
60.10000,-0.10018,-0.01163
60.20000,-0.10034,-0.01627
60.30000,-0.10051,-0.01644
60.40000,-0.10068,-0.01522
60.50000,-0.10085,-0.01287
60.60000,-0.10103,-0.01277
60.70000,-0.10118,-0.01533
60.80000,-0.10135,-0.02020
60.90000,-0.10152,-0.03788
61.00000,-0.10168,-0.04752
61.10000,-0.10185,-0.07432
61.20000,-0.10202,-0.08964
61.30000,-0.10218,-0.11248
61.40000,-0.10234,-0.13836
61.50000,-0.10251,-0.16734
61.60000,-0.10268,-0.19118
61.70000,-0.10285,-0.22168
61.80000,-0.10302,-0.24410
61.90000,-0.10319,-0.26816
62.00000,-0.10335,-0.29289
62.10000,-0.10351,-0.30701
62.20000,-0.10369,-0.33082
62.30000,-0.10385,-0.34601
62.40000,-0.10402,-0.36602
62.50000,-0.10418,-0.38626
62.60000,-0.10435,-0.41012
62.70000,-0.10452,-0.43398
62.80000,-0.10469,-0.45362
62.90000,-0.10486,-0.47245
63.00000,-0.10503,-0.48472
63.10000,-0.10519,-0.49694
63.20000,-0.10535,-0.50824
63.30000,-0.10552,-0.52765
63.40000,-0.10568,-0.53713
63.50000,-0.10585,-0.55041
63.60000,-0.10602,-0.56618
63.70000,-0.10619,-0.58170
63.80000,-0.10635,-0.59400
63.90000,-0.10652,-0.59749
64.00000,-0.10668,-0.60664
64.10000,-0.10686,-0.61636
64.20000,-0.10703,-0.62876
64.30000,-0.10719,-0.63604
64.40000,-0.10735,-0.64048
64.50000,-0.10753,-0.65805
64.60000,-0.10769,-0.66562
64.70000,-0.10785,-0.67673
64.80000,-0.10802,-0.68609
64.90000,-0.10818,-0.70382
65.00000,-0.10834,-0.72282
65.10000,-0.10852,-0.74198
65.20000,-0.10868,-0.75443
65.30000,-0.10885,-0.77648
65.40000,-0.10902,-0.79548
65.50000,-0.10919,-0.33875
65.60000,-0.10936,-0.37332
65.70000,-0.10952,-0.39335
65.79999,-0.10969,-0.41697
65.90000,-0.10985,-0.45183
66.00000,-0.11002,-0.47910
66.10000,-0.11018,-0.50315
66.20000,-0.11035,-0.53331
66.29999,-0.11052,-0.55626
66.40000,-0.11069,-0.57649
66.50000,-0.11086,-0.59930
66.60000,-0.11102,-0.60670
66.70000,-0.11119,-0.61472
66.79999,-0.11136,-0.62831
66.90000,-0.11152,-0.63383
67.00000,-0.11169,-0.63785
67.10000,-0.11186,-0.63658
67.20000,-0.11202,-0.64471
67.29999,-0.11218,-0.66020
67.40000,-0.11235,-0.66494
67.50000,-0.11252,-0.65123
67.60000,-0.11269,-0.63794
67.70000,-0.11285,-0.63388
67.79999,-0.11302,-0.64062
67.90000,-0.11319,-0.63461
68.00000,-0.11335,-0.63378
68.10000,-0.11351,-0.64549
68.20000,-0.11368,-0.65063
68.29999,-0.11385,-0.67068
68.40000,-0.11401,-0.68086
68.50000,-0.11418,-0.67216
68.60000,-0.11434,-0.66193
68.70000,-0.11452,-0.67207
68.79999,-0.11468,-0.68253
68.90000,-0.11485,-0.69303
69.00000,-0.11501,-0.71679
69.10000,-0.11518,-0.73161
69.20000,-0.11535,-0.74854
69.29999,-0.11551,-0.76327
69.40000,-0.11569,-0.76944
69.50000,-0.11585,-0.78270
69.60000,-0.11602,-0.80017
69.70000,-0.11618,-0.80928
69.79999,-0.11634,-0.82766
69.90000,-0.11651,-0.85451
70.00000,-0.11668,-0.87870
70.10000,-0.11684,-0.90117
70.20000,-0.11701,-0.91711
70.29999,-0.11718,-0.89600
70.40000,-0.11735,-0.78653
70.50000,-0.11751,-0.78973
70.60000,-0.11768,-0.80212
70.70000,-0.11784,-0.82058
70.79999,-0.11800,-0.84610
70.90000,-0.11817,-0.87262
71.00000,-0.11834,-0.90449
71.10000,-0.11850,-0.92035
71.20000,-0.11867,-0.94598
71.29999,-0.11884,-0.97851
71.40000,-0.11901,-1.01619
71.50000,-0.11918,-1.04941
71.60000,-0.11935,-1.09269
71.70000,-0.11951,-1.12587
71.79999,-0.11968,-1.17024
71.90000,-0.11984,-1.19582
72.00000,-0.12000,-1.22938
72.05580,-0.12010,-1.25281
72.10000,-0.12017,-1.27609
72.20000,-0.12033,-1.31657
72.29999,-0.12051,-1.36968
72.40000,-0.12067,-1.41417
72.50000,-0.12084,-1.44178
72.60000,-0.12101,-1.48635
72.70000,-0.12118,-1.50617
72.79999,-0.12135,-1.53987
72.90000,-0.12151,-1.57655
73.00000,-0.12168,-1.61349
73.10000,-0.12184,-1.66149
73.20000,-0.12201,-1.70342
73.29999,-0.12217,-1.74579
73.40000,-0.12234,-1.81244
73.50000,-0.12251,-1.85302
73.60000,-0.12268,-1.91395
73.70000,-0.12285,-1.95203
73.79999,-0.12301,-1.99122
73.90000,-0.12318,-2.04047
74.00000,-0.12335,-2.06817
74.10000,-0.12351,-2.11023
74.20000,-0.12368,-2.14899
74.29999,-0.12385,-2.18740
74.40000,-0.12401,-2.20977
74.50000,-0.12417,-2.22214
74.60000,-0.12434,-2.25428
74.70000,-0.12451,-2.29908
74.79999,-0.12467,-2.34348
74.90000,-0.12485,-2.39506
75.00000,-0.12502,-2.43825
75.10000,-0.12519,-2.46712
75.15880,-0.12529,-2.49976
75.20000,-0.12535,-2.51728
75.29999,-0.12552,-2.54906
75.40000,-0.12569,-2.60177
75.50000,-0.12585,-2.63949
75.60000,-0.12602,-2.67604
75.70000,-0.12618,-2.70286
75.79999,-0.12634,-2.74156
75.90000,-0.12651,-2.78485
76.00000,-0.12668,-2.80815
76.10000,-0.12685,-2.64617
76.20000,-0.12702,-2.62659
76.29999,-0.12718,-2.61620
76.40000,-0.12735,-2.59886
76.50000,-0.12751,-2.59290
76.60000,-0.12769,-2.24943
76.70000,-0.12785,-2.09613
76.77380,-0.12798,-1.96829
76.79999,-0.12803,-1.35520
76.90000,-0.12818,-0.97580
77.00000,-0.12834,-1.00226
77.10000,-0.12851,-1.02758
77.20000,-0.12868,-1.06777
77.29999,-0.12885,-1.06577
77.40000,-0.12902,-1.04728
77.50000,-0.12919,-1.04798
77.60000,-0.12935,-1.03904
77.70000,-0.12951,-1.05874
77.79999,-0.12968,-1.07973
77.90000,-0.12984,-1.09207
78.00000,-0.13001,-1.12371
78.10000,-0.13018,-1.14907
78.20000,-0.13035,-1.17607
